,avg_acc,std_dev_acc,avg_precision,std_dev_precision,avg_recall,std_dev_recall
"SimpleShot(3,15)_TiO2_40pix_inv",tensor(0.6927),tensor(0.0136),0.6946941133828193,0.013227762767793161,0.69274,0.013418443360622059
"SimpleShot(1,15)_TiO2_40pix_inv",tensor(0.6032),tensor(0.0203),0.6042154735342918,0.019949559655163738,0.6032133333333334,0.020138604166569686
"SimpleShot(3,15)_Ge(001)_40pix_inv",tensor(0.5725),tensor(0.0177),0.5578886079565702,0.018167866687222926,0.5621140089461042,0.017677471708030707
"SimpleShot(1,15)_Ge(001)_40pix_inv",tensor(0.4967),tensor(0.0141),0.49897050897791617,0.011908921783074356,0.48887463119602137,0.013392713300737802
"SimpleShot(3,15)_Si(001)_40pix_inv",tensor(0.9402),tensor(0.0188),0.9412922236869686,0.018317180536487964,0.9402366666666667,0.018615348804443918
"SimpleShot(1,15)_Si(001)_40pix_inv",tensor(0.8774),tensor(0.0303),0.8799410906088698,0.02962153801912149,0.8773700000000001,0.029996227355378473
