,proto_acc,proto_std_dev,match_acc,match_std_dev,rel_acc,rel_std_dev,simpleshot_acc,simpleshot_std_dev
"(3,15)_Ge(001)_40pix_inv",63.60266,2.6506984,53.486332,5.335784,31.32,5.4373336,57.25,1.77
"(1,15)_Ge(001)_40pix_inv",52.585,1.6424236,45.97233,4.0672,32.828003,5.379782,49.67,1.41
"(3,15)_TiO2(110)_40pix_inv",68.98599,2.3968134,63.251328,3.8736553,51.421997,4.2260294,69.27,1.36
"(1,15)_TiO2(110)_40pix_inv",67.920006,1.0263647,57.884663,3.9906788,55.302666,7.009882,60.32,2.03
"(3,15)_Si(001)_40pix_inv",97.62799,1.0437084,79.15867,6.758501,54.407997,11.051408,94.02,1.88
"(1,15)_Si(001)_40pix_inv",94.974655,1.526969,77.534,6.4110985,58.860336,7.311655,87.74,3.03
