,proto_acc,proto_std_dev,match_acc,match_std_dev,rel_acc,rel_std_dev,proto_prec_avg,proto_prec_std_dev,match_prec_avg,match_prec_std_dev,rel_prec_avg,rel_prec_std_dev,proto_rec_avg,proto_rec_std_dev,match_rec_avg,match_rec_std_dev,rel_rec_avg,rel_rec_std_dev
"(3,15)_Ge(001)_40pix_inv",tensor(59.7280),tensor(1.2635),tensor(52.6750),tensor(4.1372),tensor(44.6960),tensor(4.4318),"tensor(0.5801, dtype=torch.float64)","tensor(0.0142, dtype=torch.float64)","tensor(0.5247, dtype=torch.float64)","tensor(0.0368, dtype=torch.float64)","tensor(0.4342, dtype=torch.float64)","tensor(0.0442, dtype=torch.float64)","tensor(0.5871, dtype=torch.float64)","tensor(0.0128, dtype=torch.float64)","tensor(0.5174, dtype=torch.float64)","tensor(0.0401, dtype=torch.float64)","tensor(0.4378, dtype=torch.float64)","tensor(0.0430, dtype=torch.float64)"
"(1,15)_Ge(001)_40pix_inv",tensor(54.1243),tensor(0.8833),tensor(43.9567),tensor(3.2646),tensor(48.0093),tensor(3.8693),"tensor(0.5323, dtype=torch.float64)","tensor(0.0094, dtype=torch.float64)","tensor(0.4421, dtype=torch.float64)","tensor(0.0274, dtype=torch.float64)","tensor(0.4825, dtype=torch.float64)","tensor(0.0395, dtype=torch.float64)","tensor(0.5327, dtype=torch.float64)","tensor(0.0088, dtype=torch.float64)","tensor(0.4341, dtype=torch.float64)","tensor(0.0306, dtype=torch.float64)","tensor(0.4726, dtype=torch.float64)","tensor(0.0385, dtype=torch.float64)"
