,proto_acc,proto_CI,match_acc,match_CI,rel_acc,rel_CI,proto_prec_avg,match_prec_avg,rel_prec_avg,proto_rec_avg,match_rec_avg,rel_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.6528),tensor([0.0032]),tensor(0.5958),tensor([0.0047]),tensor(0.5004),tensor([0.0007]),"tensor(0.6632, dtype=torch.float64)","tensor(0.5996, dtype=torch.float64)","tensor(0.5009, dtype=torch.float64)","tensor(0.6528, dtype=torch.float64)","tensor(0.5958, dtype=torch.float64)","tensor(0.5004, dtype=torch.float64)"
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6788),tensor([0.0008]),tensor(0.5591),tensor([0.0064]),tensor(0.5471),tensor([0.0221]),"tensor(0.7006, dtype=torch.float64)","tensor(0.5604, dtype=torch.float64)","tensor(0.5484, dtype=torch.float64)","tensor(0.6788, dtype=torch.float64)","tensor(0.5591, dtype=torch.float64)","tensor(0.5471, dtype=torch.float64)"
"(3,15)_Si(001)_40pix_inv",tensor(0.9652),tensor([0.0018]),tensor(0.6774),tensor([0.0267]),tensor(0.5616),tensor([0.0610]),"tensor(0.9670, dtype=torch.float64)","tensor(0.6816, dtype=torch.float64)","tensor(0.5770, dtype=torch.float64)","tensor(0.9652, dtype=torch.float64)","tensor(0.6774, dtype=torch.float64)","tensor(0.5616, dtype=torch.float64)"
"(1,15)_Si(001)_40pix_inv",tensor(0.9358),tensor([0.0043]),tensor(0.7375),tensor([0.0153]),tensor(0.6091),tensor([0.0646]),"tensor(0.9381, dtype=torch.float64)","tensor(0.7418, dtype=torch.float64)","tensor(0.6327, dtype=torch.float64)","tensor(0.9358, dtype=torch.float64)","tensor(0.7375, dtype=torch.float64)","tensor(0.6091, dtype=torch.float64)"
"(3,15)_Ge(001)_40pix_inv",tensor(0.6399),tensor([0.0044]),tensor(0.3727),tensor([0.0326]),tensor(0.2686),tensor([0.0131]),"tensor(0.6261, dtype=torch.float64)","tensor(0.3786, dtype=torch.float64)","tensor(0.2660, dtype=torch.float64)","tensor(0.6308, dtype=torch.float64)","tensor(0.3706, dtype=torch.float64)","tensor(0.2686, dtype=torch.float64)"
"(1,15)_Ge(001)_40pix_inv",tensor(0.5607),tensor([0.0044]),tensor(0.4202),tensor([0.0226]),tensor(0.3141),tensor([0.0172]),"tensor(0.5650, dtype=torch.float64)","tensor(0.4304, dtype=torch.float64)","tensor(0.3249, dtype=torch.float64)","tensor(0.5527, dtype=torch.float64)","tensor(0.4160, dtype=torch.float64)","tensor(0.3118, dtype=torch.float64)"
