,proto_acc,proto_std_dev,match_acc,match_std_dev,rel_acc,rel_std_dev,proto_prec_avg,proto_prec_std_dev,match_prec_avg,match_prec_std_dev,rel_prec_avg,rel_prec_std_dev,proto_rec_avg,proto_rec_std_dev,match_rec_avg,match_rec_std_dev,rel_rec_avg,rel_rec_std_dev
"(3,15)_TiO2(110)_40pix_inv",tensor(66.5620),tensor(1.5312),tensor(61.7587),tensor(3.4960),tensor(63.1067),tensor(5.3062),"tensor(0.6795, dtype=torch.float64)","tensor(0.0191, dtype=torch.float64)","tensor(0.6281, dtype=torch.float64)","tensor(0.0504, dtype=torch.float64)","tensor(0.6334, dtype=torch.float64)","tensor(0.0544, dtype=torch.float64)","tensor(0.6656, dtype=torch.float64)","tensor(0.0153, dtype=torch.float64)","tensor(0.6176, dtype=torch.float64)","tensor(0.0350, dtype=torch.float64)","tensor(0.6311, dtype=torch.float64)","tensor(0.0531, dtype=torch.float64)"
"(1,15)_TiO2(110)_40pix_inv",tensor(67.1573),tensor(0.4685),tensor(57.4253),tensor(4.0315),tensor(63.1213),tensor(6.3280),"tensor(0.6928, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)","tensor(0.5776, dtype=torch.float64)","tensor(0.0468, dtype=torch.float64)","tensor(0.6385, dtype=torch.float64)","tensor(0.0687, dtype=torch.float64)","tensor(0.6716, dtype=torch.float64)","tensor(0.0047, dtype=torch.float64)","tensor(0.5743, dtype=torch.float64)","tensor(0.0403, dtype=torch.float64)","tensor(0.6312, dtype=torch.float64)","tensor(0.0633, dtype=torch.float64)"
