,proto_acc,proto_std_dev,match_acc,match_std_dev,rel_acc,rel_std_dev,proto_prec_avg,proto_prec_std_dev,match_prec_avg,match_prec_std_dev,rel_prec_avg,rel_prec_std_dev,proto_rec_avg,proto_rec_std_dev,match_rec_avg,match_rec_std_dev,rel_rec_avg,rel_rec_std_dev
"(3,15)_Ge(001)_40pix_inv",62.775665,2.405547,47.233,3.6382866,24.955666,0.5283056,0.61940093,0.018087172,0.558341058,0.023246462,0.240775931,0.032615353,0.618698567,0.023315645,0.474347066,0.034731611,0.248611479,0.007429152
"(1,15)_Ge(001)_40pix_inv",55.447998,2.0084505,45.213,2.402365,25.01667,0.41962937,0.550666465,0.015101237,0.515337899,0.019271511,0.248577359,0.010177168,0.548448512,0.019436122,0.453303199,0.023735036,0.247906127,0.006083845
