,proto_acc,proto_precisions,proto_recalls,proto_prec_avg,proto_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.7893),"{0: 0.8875576036866359, 1: 0.7195822454308094}","{0: 0.642, 1: 0.9186666666666666}",0.8035699245587227,0.7803333333333333
"(3,15)_TiO2(110)_40pix",tensor(0.8781),"{0: 0.9364341085271318, 1: 0.8292397660818713}","{0: 0.8053333333333333, 1: 0.9453333333333334}",0.8828369373045015,0.8753333333333333
"(1,15)_TiO2(110)_40pix_inv",tensor(0.7022),"{0: 0.717391304347826, 1: 0.6851851851851852}","{0: 0.66, 1: 0.74}",0.7012882447665056,0.7
"(1,15)_TiO2(110)_40pix",tensor(0.8285),"{0: 0.901821060965954, 1: 0.7921704087507196}","{0: 0.7593333333333333, 1: 0.9173333333333333}",0.8469957348583368,0.8383333333333334
