,proto_acc,proto_std_dev,match_acc,match_std_dev,rel_acc,rel_std_dev,proto_prec_avg,proto_prec_std_dev,match_prec_avg,match_prec_std_dev,rel_prec_avg,rel_prec_std_dev,proto_rec_avg,proto_rec_std_dev,match_rec_avg,match_rec_std_dev,rel_rec_avg,rel_rec_std_dev
"(3,15)_TiO2(110)_40pix_inv",tensor(67.6107),tensor(1.6395),tensor(62.5153),tensor(3.1162),tensor(63.5733),tensor(6.0908),"tensor(0.6913, dtype=torch.float64)","tensor(0.0186, dtype=torch.float64)","tensor(0.6367, dtype=torch.float64)","tensor(0.0456, dtype=torch.float64)","tensor(0.6382, dtype=torch.float64)","tensor(0.0611, dtype=torch.float64)","tensor(0.6761, dtype=torch.float64)","tensor(0.0164, dtype=torch.float64)","tensor(0.6252, dtype=torch.float64)","tensor(0.0312, dtype=torch.float64)","tensor(0.6357, dtype=torch.float64)","tensor(0.0609, dtype=torch.float64)"
"(1,15)_TiO2(110)_40pix_inv",tensor(67.5313),tensor(0.4460),tensor(55.9953),tensor(2.1474),tensor(62.9900),tensor(7.8488),"tensor(0.6987, dtype=torch.float64)","tensor(0.0053, dtype=torch.float64)","tensor(0.5613, dtype=torch.float64)","tensor(0.0264, dtype=torch.float64)","tensor(0.6338, dtype=torch.float64)","tensor(0.0817, dtype=torch.float64)","tensor(0.6753, dtype=torch.float64)","tensor(0.0045, dtype=torch.float64)","tensor(0.5600, dtype=torch.float64)","tensor(0.0215, dtype=torch.float64)","tensor(0.6299, dtype=torch.float64)","tensor(0.0785, dtype=torch.float64)"
