,avg_acc,std_dev_acc,avg_precision,std_dev_precision,avg_recall,std_dev_recall
"SimpleShot(3,15)_TiO2_40pix_inv",tensor(0.7031),tensor(0.0213),0.7055814985244306,0.020566037200897135,0.7031200000000001,0.02103877478477405
"SimpleShot(1,15)_TiO2_40pix_inv",tensor(0.6150),tensor(0.0217),0.6166033833987935,0.021078950781700547,0.6150133333333333,0.021515674906139162
"SimpleShot(3,15)_Ge(001)_40pix_inv",tensor(0.5714),tensor(0.0255),0.5593463737798047,0.025124953181548174,0.5616198153922872,0.024936650048844846
"SimpleShot(1,15)_Ge(001)_40pix_inv",tensor(0.4959),tensor(0.0223),0.5002506098295434,0.019157916851170978,0.4889911775820782,0.021397610155027405
"SimpleShot(3,15)_Si(001)_40pix_inv",tensor(0.9353),tensor(0.0244),0.936698706417842,0.02354913945522405,0.9353233333333333,0.02414724299882793
"SimpleShot(1,15)_Si(001)_40pix_inv",tensor(0.8669),tensor(0.0379),0.8699055594405286,0.03703254039119661,0.86686,0.037525478159659904
