,proto_acc,proto_std_dev,match_acc,match_std_dev,rel_acc,rel_std_dev,proto_prec_avg,proto_prec_std_dev,match_prec_avg,match_prec_std_dev,rel_prec_avg,rel_prec_std_dev,proto_rec_avg,proto_rec_std_dev,match_rec_avg,match_rec_std_dev,rel_rec_avg,rel_rec_std_dev
"(3,15)_Si(001)_40pix_inv",tensor(98.0390),tensor(0.6071),tensor(70.5370),tensor(7.3290),tensor(57.4843),tensor(9.1095),"tensor(0.9805, dtype=torch.float64)","tensor(0.0059, dtype=torch.float64)","tensor(0.7272, dtype=torch.float64)","tensor(0.0725, dtype=torch.float64)","tensor(0.6027, dtype=torch.float64)","tensor(0.1051, dtype=torch.float64)","tensor(0.9804, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)","tensor(0.7054, dtype=torch.float64)","tensor(0.0733, dtype=torch.float64)","tensor(0.5748, dtype=torch.float64)","tensor(0.0911, dtype=torch.float64)"
"(1,15)_Si(001)_40pix_inv",tensor(95.1907),tensor(0.7685),tensor(74.2523),tensor(4.1292),tensor(80.6053),tensor(8.0209),"tensor(0.9521, dtype=torch.float64)","tensor(0.0075, dtype=torch.float64)","tensor(0.7546, dtype=torch.float64)","tensor(0.0376, dtype=torch.float64)","tensor(0.8181, dtype=torch.float64)","tensor(0.0765, dtype=torch.float64)","tensor(0.9519, dtype=torch.float64)","tensor(0.0077, dtype=torch.float64)","tensor(0.7425, dtype=torch.float64)","tensor(0.0413, dtype=torch.float64)","tensor(0.8061, dtype=torch.float64)","tensor(0.0802, dtype=torch.float64)"
